,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
0,Calvares Tawny Port 750 Ml,2210.0,0.0,0.0,Wines,28/04/2024,16.56,13.27,15.35,1381.25
1,Khukri XXX Rum 375ml,1020.0,4.8,0.0,Spirits,28/04/2024,7.64,6.13,7.08,637.5
2,Old Durbar Black Chimney 180,850.0,3.8,0.0,Spirits,28/04/2024,6.37,5.1,5.9,531.25
3,Khukri Rum 180Ml,510.0,4.0,0.0,Spirits,28/04/2024,3.82,3.06,3.54,318.75
4,Simirnoff Ten Time Filter Vodka 750Ml,2050.0,5.0,0.0,Spirits,28/04/2024,15.36,12.31,14.24,1281.25
5,Minsk Apple 750Ml,1200.0,5.0,0.0,Spirits,28/04/2024,8.99,7.21,8.33,750.0
6,Old Durbar Black Chimney Blended Reserve Whisky -750ml,3650.0,4.7,0.0,Spirits,28/04/2024,27.34,21.92,25.35,2281.25
7,Bottega Pinot Grigo Venezia 750ml,2495.0,0.0,0.0,Wines,28/04/2024,18.69,14.98,17.33,1559.38
8,San Soju 300Ml,220.0,5.0,0.0,Spirits,28/04/2024,1.65,1.32,1.53,137.5
9,Blue Daimand 180 Ml,280.0,0.0,0.0,Spirits,28/04/2024,2.1,1.68,1.94,175.0
10,Glanfeddich 1 Ltr 12 Yrs,8200.0,0.0,0.0,Spirits,28/04/2024,61.43,49.25,56.95,5125.0
11,Signature Rare 750Ml,2100.0,0.0,0.0,Spirits,28/04/2024,15.73,12.61,14.58,1312.5
12,Choya Umeshu Shiso Fruit Liqueur - 750Ml,5350.0,0.0,0.0,Spirits,28/04/2024,40.08,32.13,37.16,3343.75
13,Limoncino Liquor Bottega 30% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,28/04/2024,33.71,27.03,31.25,2812.5
14,Blue Daimand 375 Ml,560.0,0.0,0.0,Spirits,28/04/2024,4.2,3.36,3.89,350.0
15,San Soju 300ml 7pcs,1190.0,0.0,0.0,Spirits,28/04/2024,8.92,7.15,8.26,743.75
16,Jagermeister 200ML,1600.0,0.0,0.0,Spirits,28/04/2024,11.99,9.61,11.11,1000.0
17,8848 Vodka 750,2105.0,0.0,0.0,Spirits,28/04/2024,15.77,12.64,14.62,1315.62
18,Exe Vodka 180Ml,455.0,0.0,0.0,Spirits,28/04/2024,3.41,2.73,3.16,284.38
19,Highlander Pure White Vodka 750,1140.0,0.0,0.0,Spirits,28/04/2024,8.54,6.85,7.92,712.5
20,Golden Oak Premium Blended Malt 750ml,1150.0,0.0,0.0,Spirits,28/04/2024,8.62,6.91,7.99,718.75
21,Blue Daimand 750 Ml,1120.0,0.0,0.0,Spirits,28/04/2024,8.39,6.73,7.78,700.0
22,8848 Vodka 375,1075.0,0.0,0.0,Spirits,28/04/2024,8.05,6.46,7.47,671.88
23,Bottega Bacur Gin (700ml),6950.0,0.0,0.0,Spirits,28/04/2024,52.07,41.74,48.27,4343.75
24,8848 Vodka 180,535.0,0.0,0.0,Spirits,28/04/2024,4.01,3.21,3.72,334.38
25,Red & Black Whiskey 375ML,650.0,0.0,0.0,Spirits,28/04/2024,4.87,3.9,4.51,406.25
26,Bottega Limoncino Liquore 30% 500ml,4465.0,0.0,0.0,Spirits,28/04/2024,33.45,26.82,31.01,2790.62
27,Blue Riband Gin 180ML(PACK OF 3),1320.0,0.0,0.0,Spirits,28/04/2024,9.89,7.93,9.17,825.0
28,Peach Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,28/04/2024,33.71,27.03,31.25,2812.5
29,Pinapple Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,28/04/2024,33.71,27.03,31.25,2812.5
30,Vermouth Bianco/White Bottega 16% 75Cl - 750 ml,3600.0,0.0,0.0,Spirits,28/04/2024,26.97,21.62,25.0,2250.0
31,Blue Diamond -375ML,600.0,0.0,0.0,Spirits,28/04/2024,4.5,3.6,4.17,375.0
32,Melon Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,28/04/2024,33.71,27.03,31.25,2812.5
33,Beefeater Gin 500Ml,3650.0,0.0,0.0,Spirits,28/04/2024,27.34,21.92,25.35,2281.25
34,Nude Superior Vodka 180 Ml,500.0,0.0,0.0,Spirits,28/04/2024,3.75,3.0,3.47,312.5
35,Bombay Sapphire London Dry Gin 1000 Ml,5400.0,0.0,0.0,Spirits,28/04/2024,40.46,32.43,37.5,3375.0
36,Gordon'S Gin 1000Ml,7615.0,0.0,0.0,Spirits,28/04/2024,57.05,45.73,52.89,4759.38
37,Sky Vodka Original 1000 Ml,6995.0,0.0,0.0,Spirits,28/04/2024,52.4,42.01,48.58,4371.88
38,Baileys Original Liquor -1L,7300.0,0.0,0.0,Spirits,28/04/2024,54.69,43.84,50.7,4562.5
39,Gordon's special London dry gin - 1 Ltr,6700.0,0.0,0.0,Spirits,28/04/2024,50.19,40.24,46.53,4187.5
40,Khukri XXX Rum 375 ML,1020.0,0.0,0.0,Spirits,28/04/2024,7.64,6.13,7.08,637.5
41,Dewars Special Reserve Whiskey 12 Years 1000ml,8550.0,0.0,0.0,Spirits,28/04/2024,64.05,51.35,59.38,5343.75
42,Bottega Acino Chianti 750ml,2495.0,0.0,0.0,Wines,28/04/2024,18.69,14.98,17.33,1559.38
43,Bottega Amarone Valpolicella 750ml,8495.0,0.0,0.0,Wines,28/04/2024,63.64,51.02,59.0,5309.38
