,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
0,Premium German Silver Wine Set | Axia Krafts,1550.0,3.0,0.0,Wines,25/04/2024,11.61,9.31,10.76,968.75
1,Hinwa Sweet Red - 750 ml -By Cheers Online,810.0,4.3,4.0,Wines,25/04/2024,6.07,4.86,5.63,506.25
2,Nessy Wine a finest Nepali wine,650.0,0.0,0.0,Wines,25/04/2024,4.87,3.9,4.51,406.25
3,Calvares Tawny Port 750 Ml,2210.0,0.0,0.0,Wines,25/04/2024,16.56,13.27,15.35,1381.25
4,Lindeman's Bin 46 Sweet Red Wine - 750ML -By Cheers Online,1850.0,5.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
5,Hinwa Sweet White - 750 ml -By Cheers Online,810.0,4.3,0.0,Wines,25/04/2024,6.07,4.86,5.63,506.25
6,Divine White Wine 750 Ml,730.0,4.0,0.0,Wines,25/04/2024,5.47,4.38,5.07,456.25
7,Jacob's Creek Classic Shiraz Cabernet 750ML,1875.0,0.0,0.0,Wines,25/04/2024,14.05,11.26,13.02,1171.88
8,Big Master Mix Fruit White Wine -750ml,825.0,5.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
9,"Calvet Bordeaux Merlot Cabernet Sauvignon Red Wine, 750ml -By Cheers Online",2000.0,4.3,0.0,Wines,25/04/2024,14.98,12.01,13.89,1250.0
10,Hardys Nottage Hill Chardonnay - 750 ml -By Cheers Online,1875.0,5.0,0.0,Wines,25/04/2024,14.05,11.26,13.02,1171.88
11,Robertson Winery Natural Sweet White -750ml,1550.0,5.0,0.0,Wines,25/04/2024,11.61,9.31,10.76,968.75
12,Lindeman's Bin 85 Pinot Grigio White Wine - 750ML -By Cheers Online,2100.0,5.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
13,Lindeman's Bin 45 Cabernet Sauvignon Red Wine - 750ML -By Cheers Online,2100.0,4.5,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
14,Bottega Acino Chianti DOCG Red Wine 750ML -By Cheers Online,2300.0,4.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
15,Hakodate Niagara - Japanese Wine  720ml,2410.0,4.0,0.0,Wines,25/04/2024,18.06,14.47,16.74,1506.25
16,Bottega Merlot IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,5.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
17,Bottega Acino Chianti Classico DOCG Red Wine 750ML -By Cheers Online,4000.0,3.0,0.0,Wines,25/04/2024,29.97,24.02,27.78,2500.0
18,Bottega Cabernet Sauvignon IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,0.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
19,Porto Valdouro Tawny Port Wine 750ml,2500.0,0.0,0.0,Wines,25/04/2024,18.73,15.01,17.36,1562.5
20,Pocari Sweat Powder - 740 gm,3800.0,0.0,0.0,Wines,25/04/2024,28.47,22.82,26.39,2375.0
21,Hardys VR Sweet Red - 750 ml -By Cheers Online,1850.0,0.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
22,Hardys Nottage Hill Shiraz 750ml,1695.0,0.0,0.0,Wines,25/04/2024,12.7,10.18,11.77,1059.38
23,Bottega Cabernet Sauvignon 750ml,2495.0,0.0,0.0,Wines,25/04/2024,18.69,14.98,17.33,1559.38
24,Akira Sweet Red Wine 750 ML,825.0,0.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
25,Royal Big Master Perfect Fruit Sweet Red Wine Premium 750,925.0,0.0,0.0,Wines,25/04/2024,6.93,5.56,6.42,578.12
26,Jc Carbenet Sauvigon 750 Ml,1785.0,0.0,0.0,Wines,25/04/2024,13.37,10.72,12.4,1115.62
27,Jc Grenache Shiraz 750 Ml,1785.0,0.0,0.0,Wines,25/04/2024,13.37,10.72,12.4,1115.62
28,Royal Big Master Perfect Fruit Red Wine 750,850.0,0.0,0.0,Wines,25/04/2024,6.37,5.1,5.9,531.25
29,Villa Cardini Nero D'Avola Red Wine - 750ML -By Cheers Online,1850.0,0.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
30,Lindeman's Bin 50 Shiraz Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
31,Royal Big Master Regular Perfect Fruit Sweet Red Wine 750Ml,885.0,0.0,0.0,Wines,25/04/2024,6.63,5.31,6.15,553.12
32,Divine Wine 750 Ml,700.0,0.0,0.0,Wines,25/04/2024,5.24,4.2,4.86,437.5
33,Lindeman's Bin 40 Merlot Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
34,JP Chenet Fashion Flavoured Wine - 750ML -By Cheers Online,1950.0,0.0,0.0,Wines,25/04/2024,14.61,11.71,13.54,1218.75
35,Lindeman's Bin 99 Pinot Noir Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
36,Big Master Mix Fruit Wine 750 ML,825.0,0.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
37,JP Chenet Fashion Peach-750ml,1810.0,0.0,0.0,Wines,25/04/2024,13.56,10.87,12.57,1131.25
38,Bottega Pinot Grigo Venezia 750ml,2495.0,0.0,0.0,Wines,25/04/2024,18.69,14.98,17.33,1559.38
39,Maison Castel Chardonnay Blanc 750 Ml,1950.0,0.0,0.0,Wines,25/04/2024,14.61,11.71,13.54,1218.75
40,Arna 8 330Ml,175.0,0.0,0.0,Beer,25/04/2024,1.31,1.05,1.22,109.38
41,Gorkha Strong Can Beer 500ml 12pcs,3255.0,5.0,0.0,Beer,25/04/2024,24.39,19.55,22.61,2034.38
42,Gorkha Strong Can Beer 500ml,265.0,0.0,0.0,Beer,25/04/2024,1.99,1.59,1.84,165.62
43,Arna 8 650Ml,330.0,0.0,0.0,Beer,25/04/2024,2.47,1.98,2.29,206.25
44,Tuborg Gold Premium Beer 330,220.0,0.0,0.0,Beer,25/04/2024,1.65,1.32,1.53,137.5
45,Tuborg Gold Premium Beer 650,425.0,0.0,0.0,Beer,25/04/2024,3.18,2.55,2.95,265.62
46,Tuborg Gold Premium Beer Can Beer 500,335.0,0.0,0.0,Beer,25/04/2024,2.51,2.01,2.33,209.38
47,San Soju - 300ML -By Cheers Online,170.0,4.7,2.0,Spirits,25/04/2024,1.27,1.02,1.18,106.25
48,Tuborg Gold Premium Can Beer 500ml,325.0,0.0,0.0,Beer,25/04/2024,2.43,1.95,2.26,203.12
49,Old Marphali Apple Brandy 750ml,1300.0,4.5,0.0,Spirits,25/04/2024,9.74,7.81,9.03,812.5
50,Barahsinghe Pilsner Beer Yak Beer 650,395.0,0.0,0.0,Beer,25/04/2024,2.96,2.37,2.74,246.88
51,Khukri Coronation Domestic Rum - 375ML -By Cheers Online,2700.0,4.9,5.0,Spirits,25/04/2024,20.23,16.22,18.75,1687.5
52,Tuborg Can Beer 500ml 12pcs,4050.0,0.0,0.0,Beer,25/04/2024,30.34,24.32,28.13,2531.25
53,Seagram's Royal Stag Whisky - 750ML -By Cheers Online,2000.0,5.0,0.0,Spirits,25/04/2024,14.98,12.01,13.89,1250.0
54,"Pasabahce Beer Mug, Pub,355 ml, Set of 2",875.0,0.0,0.0,Beer,25/04/2024,6.56,5.25,6.08,546.88
